local_id: 305 || global_id: 305 || residential_pe: 0
local_id: 306 || global_id: 306 || residential_pe: 0
local_id: 307 || global_id: 307 || residential_pe: 0
local_id: 308 || global_id: 308 || residential_pe: 0
local_id: 309 || global_id: 309 || residential_pe: 0
local_id: 310 || global_id: 310 || residential_pe: 0
local_id: 311 || global_id: 311 || residential_pe: 0
local_id: 312 || global_id: 312 || residential_pe: 0
local_id: 313 || global_id: 313 || residential_pe: 0
local_id: 314 || global_id: 314 || residential_pe: 0
local_id: 315 || global_id: 315 || residential_pe: 0
local_id: 316 || global_id: 316 || residential_pe: 0
local_id: 317 || global_id: 317 || residential_pe: 0
local_id: 318 || global_id: 318 || residential_pe: 0
local_id: 319 || global_id: 319 || residential_pe: 0
local_id: 320 || global_id: 320 || residential_pe: 0
local_id: 321 || global_id: 321 || residential_pe: 0
local_id: 322 || global_id: 322 || residential_pe: 0
local_id: 323 || global_id: 323 || residential_pe: 0
local_id: 324 || global_id: 324 || residential_pe: 0
local_id: 325 || global_id: 325 || residential_pe: 0
local_id: 326 || global_id: 326 || residential_pe: 0
local_id: 327 || global_id: 327 || residential_pe: 0
local_id: 328 || global_id: 328 || residential_pe: 0
local_id: 329 || global_id: 329 || residential_pe: 0
local_id: 330 || global_id: 330 || residential_pe: 0
local_id: 331 || global_id: 331 || residential_pe: 0
local_id: 332 || global_id: 332 || residential_pe: 0
local_id: 333 || global_id: 333 || residential_pe: 0
local_id: 334 || global_id: 334 || residential_pe: 0
local_id: 335 || global_id: 335 || residential_pe: 0
local_id: 336 || global_id: 336 || residential_pe: 0
local_id: 337 || global_id: 337 || residential_pe: 0
local_id: 338 || global_id: 338 || residential_pe: 0
local_id: 339 || global_id: 339 || residential_pe: 0
local_id: 340 || global_id: 340 || residential_pe: 0
local_id: 341 || global_id: 341 || residential_pe: 0
local_id: 342 || global_id: 342 || residential_pe: 0
local_id: 343 || global_id: 343 || residential_pe: 0
local_id: 344 || global_id: 344 || residential_pe: 0
local_id: 345 || global_id: 345 || residential_pe: 0
local_id: 346 || global_id: 346 || residential_pe: 0
local_id: 347 || global_id: 347 || residential_pe: 0
local_id: 348 || global_id: 348 || residential_pe: 0
local_id: 349 || global_id: 349 || residential_pe: 0
local_id: 350 || global_id: 350 || residential_pe: 0
local_id: 351 || global_id: 351 || residential_pe: 0
local_id: 352 || global_id: 352 || residential_pe: 0
local_id: 353 || global_id: 353 || residential_pe: 0
local_id: 354 || global_id: 354 || residential_pe: 0
local_id: 355 || global_id: 355 || residential_pe: 0
local_id: 356 || global_id: 356 || residential_pe: 0
local_id: 357 || global_id: 357 || residential_pe: 0
local_id: 358 || global_id: 358 || residential_pe: 0
local_id: 359 || global_id: 359 || residential_pe: 0
local_id: 360 || global_id: 360 || residential_pe: 0
local_id: 361 || global_id: 361 || residential_pe: 0
local_id: 362 || global_id: 362 || residential_pe: 0
local_id: 363 || global_id: 363 || residential_pe: 0
local_id: 364 || global_id: 364 || residential_pe: 0
local_id: 365 || global_id: 365 || residential_pe: 0
local_id: 366 || global_id: 366 || residential_pe: 0
local_id: 367 || global_id: 367 || residential_pe: 0
local_id: 368 || global_id: 368 || residential_pe: 0
local_id: 369 || global_id: 369 || residential_pe: 0
local_id: 370 || global_id: 370 || residential_pe: 0
local_id: 371 || global_id: 371 || residential_pe: 0
local_id: 372 || global_id: 372 || residential_pe: 0
local_id: 373 || global_id: 373 || residential_pe: 0
local_id: 374 || global_id: 374 || residential_pe: 0
local_id: 375 || global_id: 375 || residential_pe: 0
local_id: 376 || global_id: 376 || residential_pe: 0
local_id: 377 || global_id: 377 || residential_pe: 0
local_id: 378 || global_id: 378 || residential_pe: 0
local_id: 379 || global_id: 379 || residential_pe: 0
local_id: 380 || global_id: 380 || residential_pe: 0
local_id: 381 || global_id: 381 || residential_pe: 0
local_id: 382 || global_id: 382 || residential_pe: 0
local_id: 383 || global_id: 383 || residential_pe: 0
local_id: 384 || global_id: 384 || residential_pe: 0
local_id: 385 || global_id: 385 || residential_pe: 0
local_id: 386 || global_id: 386 || residential_pe: 0
